"","Provider.ID","READM_30_AMI_Score","READM_30_CABG_Score","READM_30_COPD_Score","READM_30_HF_Score","READM_30_HIP_KNEE_Score","READM_30_HOSP_WIDE_Score","READM_30_PN_Score","READM_30_STK_Score"
"197",10029,-0.0638847246205706,-0.0333682828187631,-0.716302798362277,0.989206448952133,3.20660987158817,-0.485381773277654,-1.00369027288807,-0.551801688049245
"211",10032,-0.0638847246205706,-0.0333682828187631,-1.27294852010816,-0.267900543476665,-0.0133664438165406,-0.872947133511614,-0.6153989821562,-0.0454777280394822
"225",10033,1.80060757152424,-0.0333682828187631,-0.0668827896587445,1.38205238408613,2.71122889998745,1.19406812106952,1.17074095521041,4.38485692204594
"239",10034,-0.0638847246205706,-0.0333682828187631,0.118665784256553,-0.189331356449867,-0.0133664438165406,-1.13132404033426,-1.00369027288807,0.207684251965398
"253",10035,-0.996130872692978,-0.0333682828187631,-0.15965707661639,0.674929700844934,-0.0133664438165406,0.16056049377895,-0.382424207717076,-0.0454777280394822
"267",10036,-0.0638847246205706,-0.0333682828187631,-0.15965707661639,1.14634482300573,-1.74719984441908,1.06487966765819,0.0835253411611691,-0.0454777280394822
"281",10038,1.33448449748803,-0.0333682828187631,0.304214358171848,1.61775994516653,0.234324041983823,0.418937400601592,0.471816631893042,1.22033217198492
"295",10039,-0.840756514680908,-0.0333682828187631,-0.716302798362277,-0.346469730503467,0.482014527784184,-0.485381773277654,0.161183599307545,-0.298639708044362
"309",10040,0.402238349415633,-0.0333682828187631,-0.252431363574039,-0.739315665637467,3.94968132898926,0.418937400601592,0.704791406332166,0.714008211975161
"323",10044,-0.0638847246205706,-0.0333682828187631,-0.901851372277572,-0.896454039691066,-0.0133664438165406,-0.872947133511614,-1.46963982176632,-0.0454777280394822
"337",10045,-0.0638847246205706,-0.0333682828187631,1.60305437557891,0.203514578684133,-0.0133664438165406,0.418937400601592,2.02498179482053,-1.69103059807121
"351",10046,1.64523321351217,-0.0333682828187631,1.23195722774832,0.282083765710934,0.482014527784184,0.0313720403676295,0.316500115600293,0.207684251965398
"365",10047,-0.0638847246205706,-0.0333682828187631,0.0258914972989044,-0.0321929823962676,-0.0133664438165406,0.289748947190272,0.782449664478541,-0.0454777280394822
"379",10049,-0.0638847246205706,-0.0333682828187631,1.23195722774832,0.439222139764534,-0.756437901217627,-1.13132404033426,-1.00369027288807,-0.172058718041922
"393",10051,-0.0638847246205706,-0.0333682828187631,0.396988645129493,-0.660746478610666,-0.0133664438165406,-0.872947133511614,-0.227107691424328,-0.0454777280394822
"407",10052,-0.0638847246205706,-0.0333682828187631,-0.809077085319923,-0.346469730503467,-0.0133664438165406,-1.26051249374558,0.316500115600293,-0.0454777280394822
"421",10055,-1.30687958871711,-0.0333682828187631,-2.01514281576934,-1.21073078779827,0.729705013584548,-0.872947133511614,-1.70261459620544,-0.172058718041922
"435",10056,0.0914896333914936,-0.0333682828187631,0.396988645129493,0.439222139764534,1.22508598518527,-0.485381773277654,-0.770715498448949,2.73930405201421
"449",10058,-0.0638847246205706,-0.0333682828187631,-0.0668827896587445,-0.0321929823962676,-0.0133664438165406,-0.227004866455011,0.62713314818579,-0.0454777280394822
"463",10059,-0.0638847246205706,-0.0333682828187631,-0.716302798362277,0.282083765710934,-0.0133664438165406,-1.26051249374558,-1.5472980799127,0.714008211975161
