"","Provider.ID","OP_10","OP_11","OP_13","OP_14","OP_8"
"127",10039,0.986078407321711,-0.53631913445754,0.200791405031074,1.66198622353742,-0.0536609074391155
"133",10040,0.517252948756572,0.775310309395683,-0.0243279688689525,2.5443763366892,-0.371599655845551
"139",10044,-0.537604333014991,-0.0250059614300124,-0.0243279688689525,-0.102794002766124,-0.0536609074391155
"145",10045,-0.760296425833432,-0.447395104365796,-0.0243279688689525,1.18068252545464,2.46335418411183
"151",10046,-0.70169324351279,0.241766128845219,-0.0243279688689525,3.42676644984097,-0.0536609074391155
"157",10047,-0.689972607048661,-0.336240066751116,-0.0243279688689525,-0.102794002766124,-0.0536609074391155
"163",10049,-0.455559877766092,-0.469626111888732,3.50254222223146,2.78502818573059,2.72830314111719
"169",10051,-0.279750330804165,-0.336240066751116,-0.0243279688689525,-0.102794002766124,-0.0536609074391155
"175",10052,-0.279750330804165,-0.336240066751116,-0.0243279688689525,-0.102794002766124,-0.0536609074391155
"181",10055,-0.221147148483522,-0.31400905922818,0.575990361531118,1.18068252545464,0.873660442079654
"187",10056,-0.326632876660679,-0.491857119411668,1.55150764843123,0.940030676413245,2.11892054000486
"193",10058,-0.185985239091137,-0.53631913445754,-0.0243279688689525,-0.102794002766124,-0.0536609074391155
"199",10059,0.0601481266555611,-0.291778051705244,-0.0243279688689525,3.10589731778578,-0.0536609074391155
"205",10061,-0.420397968373706,-0.53631913445754,-0.0243279688689525,1.02024795942704,1.11211450338448
"211",10062,2.95514533329529,-0.53631913445754,-0.0243279688689525,-0.102794002766124,-0.0536609074391155
"217",10065,-0.221147148483522,-0.2028540216135,-0.0243279688689525,-1.14561868194549,2.48984907981237
"223",10069,-0.420397968373706,0.819772324441554,0.275831196331083,-0.102794002766124,-0.0536609074391155
"229",10073,-0.760296425833432,-0.180623014090564,-0.099367760168961,-0.102794002766124,-0.0536609074391155
"235",10078,0.0953100360479466,-0.113929991521756,-0.099367760168961,0.538944261344257,-0.186135385941797
"241",10079,2.16986269019869,-0.358471074274052,2.90222389183139,1.74220350655122,-2.22624235488309
"247",10083,1.53694832113575,2.62048393379937,0.726069944131135,1.26089980846844,-2.04077808497933
"253",10085,0.646179949861985,1.64231960279019,-0.324487134068987,-0.664314983862708,0.396752319470002
"259",10086,-0.31491224019655,0.108380083707603,-0.249447342768979,-0.102794002766124,3.6821193863365
"265",10087,1.72447850456181,2.90948703159754,-0.0243279688689525,3.18611460079958,-0.0536609074391155
"271",10089,-0.350074149588936,1.33108549746908,-0.0243279688689525,0.298292412302864,4.13253261324561
"277",10090,3.85763434103319,1.01985139214798,-0.0243279688689525,1.26089980846844,2.01294095720271
"283",10091,2.66212942169208,4.79912267104709,-0.0243279688689525,-0.102794002766124,-0.0536609074391155
"289",10092,-0.70169324351279,-0.491857119411668,-0.924805464469058,0.298292412302864,1.98644606150218
"295",10095,-0.947826609259488,-0.336240066751116,-0.0243279688689525,-1.62692238002828,-0.0536609074391155
"301",10097,0.458649766435929,-0.336240066751116,-0.0243279688689525,-0.102794002766124,-0.0536609074391155
"307",10099,3.00202787915181,-0.180623014090564,-0.999845255769067,-1.46648781400068,4.13253261324561
"313",10100,0.868872042680426,0.330690158936963,-0.0243279688689525,1.18068252545464,-0.265620073043405
"319",10101,0.505532312292443,0.95315836957917,-0.924805464469058,-0.102794002766124,-0.0536609074391155
"325",10102,-0.103940783842238,-0.336240066751116,-0.0243279688689525,-0.102794002766124,-0.0536609074391155
"331",10103,0.552414858148957,0.886465347010363,-0.0243279688689525,0.298292412302864,0.661701276475364
"337",10104,0.622738676933728,-0.42516409684286,0.200791405031074,1.42133437449603,1.08561960768394
"343",10108,-0.0101756921292097,-0.402933089319924,-0.0243279688689525,-0.102794002766124,3.41717042933113
"349",10109,-0.502442423622606,-0.31400905922818,-0.0243279688689525,-0.102794002766124,-0.0536609074391155
"355",10110,-0.748575789369304,-0.53631913445754,-0.0243279688689525,-0.102794002766124,-0.0536609074391155
"361",10112,0.435208493507673,1.35331650499202,-0.0243279688689525,-0.102794002766124,0.582216589373754
"367",10113,5.48352103133709,-0.42516409684286,-0.0243279688689525,0.298292412302864,-0.106650698840189
"373",10114,0.0953100360479466,-0.53631913445754,3.35246263963144,-0.102794002766124,-1.06046694405949
"379",10118,-0.420397968373706,-0.158392006567628,-0.474566716669005,-0.423663134821315,-0.689538404251985
"385",10120,0.0953100360479466,-0.225085029136436,0.500950570231109,-0.423663134821315,2.72830314111719
"391",10125,-0.197705875555265,-0.336240066751116,0.0507118224310567,-0.102794002766124,-0.79551798705413
"397",10126,1.09156413549887,-0.0694679764758842,1.2513484832312,-0.102794002766124,-0.0536609074391155
"403",10128,2.52148178412254,-0.336240066751116,-0.0243279688689525,-0.102794002766124,-0.0536609074391155
"409",10129,2.83793896865401,2.0869397532489,-0.0243279688689525,-0.102794002766124,-0.0536609074391155
"415",10130,1.11500540842712,4.82135367857003,-0.0243279688689525,1.34111709148223,-0.0536609074391155
"421",10131,-0.244588421411779,-0.447395104365796,-0.474566716669005,4.06850471395135,0.582216589373754
"427",10138,-0.279750330804165,-0.336240066751116,-0.0243279688689525,-0.102794002766124,-0.0536609074391155
