"","Provider.ID","CAC_3_Score","IMM_2_Score","IMM_3_OP_27_FAC_ADHPCT_Score","OP_22_Score","OP_23_Score","OP_29_Score","OP_30_Score","OP_4_Score","PC_01_Score","STK_4_Score","STK_5_Score","STK_6_Score","STK_8_Score","VTE_1_Score","VTE_2_Score","VTE_3_Score","VTE_5_Score","VTE_6_Score"
"560",10024,0.0642243770846861,0.584262570637775,-2.37500056312258,2.51332658069514,0.0783926565815808,1.17732115396103,0.893242659200329,0.251385624115378,-0.267322399349441,0.139089255096366,0.309478145067225,0.641897579977513,0.609954337099263,0.491459765526404,0.0776453447083571,-2.2065766972985,0.0431188578965477,2.23219269497953
"603",10029,0.0642243770846861,-0.334313727398706,0.885237353829717,1.06770997879826,0.0783926565815808,-1.09347206172932,0.416701508494185,-1.98428754060616,-0.655661990152498,0.139089255096366,0.309478145067225,0.0508300115889687,-0.433392407093963,-0.951209551664977,-0.167856211142059,0.585619370353286,-1.9068216090226,4.21294624082591
"646",10032,0.0642243770846861,0.584262570637775,-0.327874429222302,-0.377906623098612,0.0783926565815808,0.852922123148118,0.893242659200329,-0.307532667065007,-0.267322399349441,0.139089255096366,0.309478145067225,0.24785253438515,0.262172089034854,0.202925902088128,0.323146900558773,0.236594861896812,0.303110920152434,-0.243749237328446
"689",10033,0.0642243770846861,0.469440533383214,-1.01024980718906,1.7905182797467,0.0783926565815808,-0.174341474426087,0.476269152332453,0.251385624115378,-0.655661990152498,0.886004135896961,0.309478145067225,0.641897579977513,0.609954337099263,-0.662675688226701,-0.658859322842891,-0.112429646559661,-1.9068216090226,0.251439149133149
"732",10034,0.0642243770846861,-1.02324595092607,-0.327874429222302,2.51332658069514,0.0783926565815808,1.17732115396103,0.893242659200329,0.810303915295762,-0.267322399349441,0.139089255096366,0.309478145067225,-1.72237269357666,0.262172089034854,-1.67254421026067,-4.83238577229996,0.236594861896812,0.303110920152434,-0.243749237328446
"775",10035,0.0642243770846861,0.584262570637775,0.43032043518521,-0.377906623098612,0.187332898695817,-0.985339051458355,-0.417245505241567,0.53084476970557,2.83939432707502,0.139089255096366,0.309478145067225,0.444875057181332,0.436063213067059,0.77999362896468,0.323146900558773,0.934643878809759,0.56310298240832,-0.243749237328446
"818",10036,0.0642243770846861,0.699084607892335,-0.327874429222302,-0.377906623098612,0.0783926565815808,1.17732115396103,0.595404440008989,0.810303915295762,-0.655661990152498,0.139089255096366,0.309478145067225,0.641897579977513,0.783845461131468,0.77999362896468,0.323146900558773,-0.112429646559661,0.56310298240832,-0.243749237328446
"861",10038,0.0642243770846861,0.699084607892335,-1.54098621227432,-0.377906623098612,0.0783926565815808,0.528523092335211,0.178430933141113,0.251385624115378,-0.267322399349441,0.139089255096366,0.309478145067225,-0.343215034003394,0.0882809650026499,0.635726697245542,0.323146900558773,-0.461454155016134,-2.29680970240643,-0.243749237328446
"904",10039,0.654340039595217,0.354618496128654,0.202861975862956,-0.377906623098612,0.0783926565815808,0.582589597470696,0.118863289302845,0.251385624115378,-0.267322399349441,0.139089255096366,-0.255747671056318,0.444875057181332,0.783845461131468,-1.52827727854153,-1.64086554624455,0.236594861896812,-0.0868771732313955,0.746627535594744
"947",10040,0.0642243770846861,0.584262570637775,-1.69262518515582,1.7905182797467,0.0783926565815808,-0.985339051458355,-2.68081597109575,0.251385624115378,0.897696373059732,-1.80288943498518,0.309478145067225,-0.737260079595757,0.436063213067059,0.491459765526404,-0.167856211142059,-1.68303993461379,-0.216873204359339,1.73700430851793
