"","Provider.ID","OP_10","OP_11","OP_13","OP_14","OP_8"
"439",10144,2.79580386084881,-0.584769964525665,0.0664518594820147,-0.368085794342182,NA
"445",10146,1.99203196781939,-0.584769964525665,NA,3.59310562093048,NA
"451",10148,-0.429588479128213,0.879096376440343,NA,1.77309875445385,-0.0657991022603897
"457",10149,-0.316236032675346,-0.527736210981535,NA,0.756036093775735,0.427367622659213
"463",10150,-0.285321729097292,0.0616125756411438,-0.597815023749187,NA,NA
"469",10157,1.60045078916404,0.403815096905925,NA,NA,0.0836453598364597
"475",10158,0.858507503290727,3.16044651820555,NA,NA,1.14470104072409
"481",10164,-0.687207675612001,-0.242567443260884,1.13949836316319,0.541917638896131,0.845812116530391
"487",10168,-0.687207675612001,-0.584769964525665,NA,NA,NA
"493",10169,1.23978391408673,NA,2.57022703473808,NA,NA
"499",11300,-0.532636157721728,0.175680082729404,NA,NA,NA
"505",11302,0.0341260745426055,NA,NA,NA,NA
"511",11304,-0.347150336253401,-0.261578694442261,NA,NA,NA
"517",11305,-0.110140675488316,0.555905106356939,NA,NA,NA
"523",13300,NA,NA,NA,NA,NA
"529",13301,NA,NA,NA,NA,NA
"535",20001,-0.40897894340951,-0.451691206256028,-1.41537426464913,-0.689263476661587,1.47347885733716
"541",20006,-0.202883586222479,-0.356634950349144,NA,-0.528674635501885,NA
"547",20008,-0.604769532737189,-0.584769964525665,NA,NA,NA
"553",20012,-0.48111231842497,-0.527736210981535,0.373036574819493,-0.796322704101389,2.26553450645046
"559",20017,-0.14105497906637,-0.299601196805014,NA,NA,NA
"565",20018,NA,NA,NA,NA,NA
"571",20024,-0.110140675488316,-0.584769964525665,0.424134027375739,NA,-1.08202144451897
"577",20026,NA,NA,NA,NA,NA
"583",21301,NA,NA,NA,NA,NA
"589",21302,NA,NA,NA,NA,NA
"595",21303,NA,NA,NA,NA,NA
"601",21304,NA,NA,NA,NA,NA
"607",21305,NA,NA,NA,NA,NA
"613",21306,NA,NA,NA,NA,NA
"619",21307,NA,NA,NA,NA,NA
"625",21308,NA,NA,NA,NA,NA
"631",21309,NA,NA,NA,NA,NA
"637",21310,NA,NA,NA,NA,NA
"643",21311,-0.233797889800534,-0.584769964525665,NA,NA,NA
"649",21312,NA,NA,NA,NA,NA
"655",21313,-0.326540800534698,-0.584769964525665,NA,NA,NA
"661",30001,-0.800560122064867,NA,NA,NA,NA
"667",30002,0.590583538947587,-0.584769964525665,-1.67086152743036,NA,NA
"673",30006,-0.728426747049407,-0.0334436802657399,-0.853302286530418,1.66603952701405,NA
"679",30007,-0.604769532737189,-0.584769964525665,-0.751107381417926,0.167210342856826,-1.29124369145456
"685",30010,-0.347150336253401,0.137657580366651,-0.495620118636694,1.02368416237524,NA
"691",30011,-0.738731514908758,-0.09047743380987,-0.444522666080448,1.07721377609514,NA
"697",30012,0.168088056714175,2.98934525757316,-0.546717571192941,-0.261026566902381,NA
"703",30013,4.47548102192311,0.707995115807953,0.270841669707,0.0601511154170239,0.0836453598364597
"709",30014,-0.233797889800534,-0.261578694442261,2.21254486684436,2.20133566421306,1.27920105661126
"715",30016,1.74471753919496,-0.20454494089813,1.19059581571943,-0.0469081120227776,NA
"721",30022,-0.460502782706267,-0.280589945623637,NA,NA,NA
"727",30023,-0.800560122064867,-0.489713708618781,-1.87525133765534,0.702506480055834,-0.170410225728185
"733",30024,-0.625379068455892,-0.584769964525665,2.31473977195685,-0.528674635501885,-1.02224365968023
"739",30030,-0.635683836315243,NA,0.832913647825709,NA,NA
"745",30033,0.126868985276769,0.384803845724548,-1.36427681209288,NA,-1.66485484669668
"751",30036,-0.831474425642922,-0.584769964525665,0.270841669707,0.702506480055834,NA
"757",30037,-0.769645818486813,NA,NA,NA,NA
"763",30038,-0.852083961361625,-0.166522438535377,1.34388817338817,-0.20749695318248,NA
"769",30043,0.53905969965083,0.89810762762172,0.0153544069257686,-0.100437725742678,1.0400899172563
"775",30055,0.466926324635369,1.63954642369541,-0.240132855855463,0.0601511154170239,-1.42574370734172
"781",30061,-0.635683836315243,-0.394657452711898,-1.36427681209288,0.488388025176231,NA
"787",30062,0.384488181760557,2.60912023394563,2.41693467706934,0.648976866335933,1.15964548693377
"793",30064,-0.759341050627461,-0.584769964525665,0.884011100381956,1.93368759561355,-0.514132488550938
"799",30065,-0.687207675612001,-0.223556192079507,-1.41537426464913,0.916624934935437,NA
"805",30068,-0.491417086284322,-0.356634950349144,-1.26208190698039,NA,NA
"811",30069,0.652412146103696,0.327770092180418,-0.904399739086664,0.167210342856826,-0.529076934760623
"817",30071,NA,NA,NA,NA,NA
"823",30073,NA,NA,NA,NA,NA
"829",30074,NA,NA,NA,NA,NA
