"","Provider.ID","READM_30_AMI_Score","READM_30_CABG_Score","READM_30_COPD_Score","READM_30_HF_Score","READM_30_HIP_KNEE_Score","READM_30_HOSP_WIDE_Score","READM_30_PN_Score","READM_30_STK_Score"
"197",10029,-0.0955735249865146,-0.0723952523739224,-0.642395927954625,0.831755456551267,2.40648495372177,-0.472789853196282,-0.936849115998829,-0.434675122191695
"211",10032,NA,NA,-1.12709285095338,-0.236802743602587,NA,-0.843118030846905,-0.578979825303488,NA
"225",10033,1.15667605328204,-0.0723952523739224,-0.0769161844560782,1.16567989409935,2.03352519384808,1.13196558328976,1.06721891189508,3.20025672261317
"239",10034,NA,NA,0.084649456543509,-0.170017856092972,NA,-1.09000348261399,-0.936849115998829,0.124545161624438
"253",10035,-0.721698314120792,NA,-0.157699004955869,0.564615906512804,-0.0177534854571884,0.144423776221426,-0.364258250886283,-0.0618615996476058
"267",10036,NA,NA,-0.157699004955869,0.965325231570498,-1.32311264501509,1.00852285740622,0.065184897948125,-0.0618615996476058
"281",10038,0.843613658714897,NA,0.246215097543093,1.3660345566282,0.168726394479655,0.39130922798851,0.423054188643466,0.870172206712616
"295",10039,-0.617344182598411,-0.0723952523739224,-0.642395927954625,-0.303587631112204,0.355206274416498,-0.472789853196282,0.136758756087194,-0.24826836091965
"309",10040,0.217488869580624,-0.0723952523739224,-0.238481825455663,-0.637512068660284,2.9659245935323,0.39130922798851,0.637775763060671,0.497358684168527
"323",10044,NA,NA,-0.803961568954209,-0.771081843679515,NA,-0.843118030846905,-1.36629226483324,NA
"337",10045,NA,NA,1.37717458454019,0.163906581455107,NA,0.39130922798851,1.85453135142483,-1.2735055479159
"351",10046,1.05232192175966,-0.0723952523739224,1.05404330254102,0.230691468964724,0.355206274416498,0.0209810503378847,0.27990647236533,0.124545161624438
"365",10047,NA,NA,0.00386663604371539,NA,NA,0.267866502104969,0.70934962119974,NA
"379",10049,NA,NA,1.05404330254102,0.364261243983956,-0.577193125267716,-1.09000348261399,-0.936849115998829,-0.155064980283628
"393",10051,NA,NA,0.326997918042884,-0.570727181150667,NA,-0.843118030846905,-0.221110534608147,NA
"407",10052,NA,NA,-0.723178748454416,-0.303587631112204,NA,-1.21344620849753,0.27990647236533,NA
"421",10055,-0.93040657716555,-0.0723952523739224,-1.77335541495172,-1.03822139371798,0.541686154353341,-0.843118030846905,-1.58101383925044,-0.155064980283628
"435",10056,0.00878060653586248,-0.0723952523739224,0.326997918042884,0.364261243983956,0.914645914227026,-0.472789853196282,-0.722127541581624,1.98861277434488
"449",10058,NA,NA,NA,NA,NA,-0.225904401429197,0.566201904921602,NA
"463",10059,NA,NA,-0.642395927954625,0.230691468964724,NA,-1.21344620849753,-1.43786612297231,0.497358684168527
"477",10061,NA,NA,-0.642395927954625,0.431046131493573,-0.0177534854571884,0.144423776221426,-0.722127541581624,1.42939249052875
"491",10062,NA,NA,-0.965527209953794,-0.771081843679515,NA,-0.472789853196282,-0.292684392747216,NA
"505",10065,-0.93040657716555,NA,-2.30086723281536,-0.637512068660284,2.03352519384808,0.39130922798851,0.494628046782535,0.497358684168527
"519",10069,NA,NA,0.569346379542262,-0.704296956169901,NA,-0.472789853196282,-0.793701399720693,-0.24826836091965
"533",10073,NA,NA,-0.400047466455247,-0.637512068660284,NA,-0.225904401429197,-0.435832109025352,NA
"547",10078,0.947967790237278,-0.0723952523739224,-2.30086723281536,-1.17179116873721,2.9659245935323,-0.596232579079823,-0.14953667646908,-0.434675122191695
"561",10079,NA,NA,1.2963917640404,0.631400794022419,-0.577193125267716,0.514751953872051,1.21036662817322,0.590562064804549
"575",10083,-0.408635919553653,NA,-2.17726951745068,-0.236802743602587,1.6605654339744,-0.225904401429197,0.852497337477876,-0.0618615996476058
