"","Provider.ID","CAC_3_Score","IMM_2_Score","IMM_3_OP_27_FAC_ADHPCT_Score","OP_22_Score","OP_23_Score","OP_29_Score","OP_30_Score","OP_4_Score","PC_01_Score","STK_4_Score","STK_5_Score","STK_6_Score","STK_8_Score","VTE_1_Score","VTE_2_Score","VTE_3_Score","VTE_5_Score","VTE_6_Score"
"17244",50298,NA,0.717843953152167,0.162934187433952,3.84458696427158,NA,1.06226831539784,0.875725982503108,0.779029900695592,-0.0915404421800261,NA,NA,0.644429705619104,0.767510972829487,0.79166808678936,0.626970797536576,0.853427300204965,0.658344863156919,NA
"17287",50300,NA,-0.524755094756249,0.0219819583046754,0.75945947530034,-1.88029613689764,-1.90417351687632,-1.22655220053238,-0.60043560859586,-0.0915404421800261,NA,NA,-1.42953222958754,-0.369962101698248,-2.14288882773199,-3.73698060779034,-2.23706107315198,-0.277408215444189,4.58874127515626
"17330",50301,NA,-1.5602543013466,-1.81039702037592,-0.474591520288156,NA,-0.525404777931994,0.784322583240695,0.384896898040892,-0.672639878808247,NA,NA,0.200009290931965,-2.64490825075372,0.664078655723214,0.031886514991997,0.209575555755602,-0.0902575997239675,NA
"17373",50305,NA,0.096544429197959,0.303886416563228,0.75945947530034,NA,-0.650747390563297,0.738620883609489,0.779029900695592,-0.382090160494137,NA,0.254609177495175,0.644429705619104,-0.369962101698248,0.0261315003924855,0.428609370021716,0.467116253535347,-0.558134139024522,NA
"17416",50308,NA,0.510744111834098,-0.471350843647791,-1.0916170180824,-0.227758796525649,-1.11033697021141,-0.312518207908257,NA,-0.672639878808247,0.26894176270459,0.612827564080541,0.496289567390057,0.641125075659739,0.408899793590923,-0.364836340037722,0.724656951315092,0.0968930159962541,-0.522866954178344
"17459",50309,NA,0.200094349856994,-0.682779187341706,0.142433977506092,NA,NA,0.875725982503108,NA,-0.382090160494137,0.673366593490359,0.612827564080541,0.348149429161011,0.135581486980745,0.153720931458631,0.626970797536576,0.59588660242522,0.564769555296808,0.309190815111065
"17502",50313,NA,0.614294032493132,0.23341030199859,0.142433977506092,1.59003227788354,-0.734309132317499,0.0987970887726,NA,-0.672639878808247,NA,0.612827564080541,0.200009290931965,0.261967384150494,0.536489224657068,0.626970797536576,-0.0479651420241438,0.658344863156919,NA
"17545",50315,NA,-2.69930342859598,-1.66944479124664,-1.0916170180824,NA,NA,NA,NA,1.36120814939053,NA,0.612827564080541,0.644429705619104,-3.02406594226296,0.664078655723214,0.031886514991997,0.0808052068657289,NA,-0.522866954178344
"17588",50320,NA,0.200094349856994,-0.0484941562599627,-1.0916170180824,NA,NA,0.235902187666219,NA,-0.672639878808247,NA,NA,0.644429705619104,-0.875505690377241,0.536489224657068,0.031886514991997,0.853427300204965,-0.932435370464965,-0.522866954178344
"17631",50324,NA,0.614294032493132,0.303886416563228,-0.474591520288156,0.763763607697544,0.519116993995529,0.60151578471587,0.779029900695592,-0.0915404421800261,0.673366593490359,NA,0.644429705619104,0.767510972829487,0.536489224657068,0.428609370021716,0.853427300204965,0.658344863156919,-0.522866954178344
"17674",50327,NA,0.303644270516028,-0.471350843647791,1.99351047088884,NA,0.644459606626831,-0.952342002745146,-0.00923610461380896,NA,0.134133485776,NA,0.200009290931965,-3.02406594226296,-0.356636792805952,-0.364836340037722,-0.176735490914016,-0.651709446884633,-0.245514364415207
"17717",50329,NA,0.303644270516028,-1.66944479124664,-0.474591520288156,-0.393012530562847,0.978706573643639,0.875725982503108,0.384896898040892,-0.672639878808247,NA,0.612827564080541,0.644429705619104,0.767510972829487,0.536489224657068,0.031886514991997,0.853427300204965,0.658344863156919,NA
"17760",50334,NA,0.303644270516028,0.0219819583046754,-0.474591520288156,NA,0.769802219258134,0.875725982503108,NA,-0.382090160494137,0.673366593490359,0.612827564080541,0.644429705619104,0.767510972829487,0.79166808678936,0.626970797536576,0.853427300204965,0.658344863156919,NA
"17803",50335,NA,0.303644270516028,0.0924580728693135,-0.474591520288156,0.873932763722343,0.978706573643639,0.647217484347076,0.384896898040892,1.07065843107642,NA,NA,0.348149429161011,0.388353281320242,-0.229047361739806,-0.364836340037722,0.59588660242522,0.658344863156919,1.97330635368988
"17846",50336,NA,0.200094349856994,0.0924580728693135,0.142433977506092,0.543425295647946,NA,NA,0.779029900695592,-0.672639878808247,NA,NA,-0.985111814900405,-1.25466338188649,0.281310362524777,-0.166474912522863,-0.0479651420241438,0.284043631716476,NA
"17889",50342,NA,-0.11055541212011,-1.17611198929417,-0.474591520288156,NA,1.06226831539784,NA,0.581963399368242,0.199009276134084,NA,-0.103609209090191,-0.540691400213266,-2.01297876490498,0.408899793590923,-0.166474912522863,0.853427300204965,-4.36664916893103,NA
"17932",50348,NA,0.096544429197959,0.797219218515695,1.37648497309459,NA,-0.149376940038086,0.60151578471587,-0.403369107268509,-0.672639878808247,0.403750039633179,-2.61113791518775,0.496289567390057,-0.369962101698248,0.0261315003924855,0.626970797536576,0.853427300204965,0.658344863156919,-0.522866954178344
"17975",50350,NA,-0.31765525343818,-0.682779187341706,0.75945947530034,NA,-0.943213486703003,NA,-1.58576811523261,2.81395674096108,NA,-0.820045982260923,-0.985111814900405,-2.01297876490498,-2.14288882773199,-2.15008918767146,-3.78230525983045,-1.2131612940453,4.58874127515626
