"","Provider.ID","Hospital.overall.rating"
"425",50393,"3"
"426",50394,"3"
"427",50396,"5"
"428",50397,"Not Available"
"429",50407,"3"
"430",50411,"3"
"431",50414,"2"
"432",50417,"3"
"433",50423,"2"
"434",50424,"5"
"435",50425,"3"
"436",50426,"3"
"437",50434,"3"
"438",50438,"4"
"439",50441,"4"
"440",50444,"2"
"441",50454,"3"
"442",50455,"2"
"443",50457,"4"
"444",50464,"2"
"445",50468,"3"
"446",50471,"3"
"447",50481,"3"
"448",50485,"3"
"449",50488,"3"
"450",50492,"2"
"451",50496,"4"
"452",50498,"4"
"453",50502,"4"
"454",50503,"4"
"455",50506,"3"
"456",50510,"3"
"457",50512,"3"
"458",50515,"3"
"459",50516,"2"
"460",50517,"2"
"461",50523,"2"
"462",50526,"3"
"463",50528,"3"
"464",50534,"2"
"465",50537,"4"
"466",50541,"3"
"467",50543,"Not Available"
"468",50545,"Not Available"
"469",50546,"Not Available"
"470",50548,"Not Available"
"471",50549,"3"
"472",50551,"3"
"473",50552,"Not Available"
"474",50557,"3"
"475",50561,"3"
"476",50567,"3"
"477",50568,"2"
"478",50570,"4"
"479",50573,"4"
"480",50575,"3"
"481",50580,"3"
"482",50581,"3"
"483",50586,"4"
"484",50588,"3"
"485",50589,"3"
"486",50590,"3"
"487",50597,"3"
"488",50599,"3"
"489",50603,"4"
"490",50604,"3"
"491",50608,"2"
"492",50609,"4"
"493",50616,"3"
"494",50624,"3"
"495",50625,"4"
"496",50633,"3"
"497",50636,"3"
"498",50641,"2"
"499",50663,"3"
"500",50668,"Not Available"
"501",50674,"3"
"502",50677,"3"
"503",50678,"3"
"504",50684,"2"
"505",50686,"3"
"506",50688,"3"
"507",50689,"3"
"508",50690,"3"
"509",50696,"3"
"510",50697,"Not Available"
"511",50701,"2"
"512",50704,"3"
"513",50708,"5"
"514",50709,"3"
"515",50710,"3"
"516",50714,"5"
"517",50717,"3"
"518",50723,"3"
"519",50724,"2"
"520",50726,"Not Available"
"521",50727,"2"
"522",50732,"3"
"523",50735,"3"
"524",50736,"2"
"525",50737,"3"
"526",50738,"3"
"527",50739,"4"
"528",50740,"3"
"529",50742,"2"
"530",50744,"2"
"531",50745,"2"
"532",50746,"1"
"533",50747,"2"
"534",50748,"3"
"535",50751,"Not Available"
"536",50754,"Not Available"
"537",50755,"2"
"538",50757,"4"
"539",50758,"3"
"540",50760,"3"
"541",50761,"2"
"542",50763,"5"
"543",50764,"4"
"544",50765,"3"
"545",50766,"4"
"546",50767,"3"
"547",50769,"5"
"548",50770,"3"
"549",50771,"2"
"550",50772,"4"
"551",50773,"2"
"552",50775,"3"
"553",50776,"3"
"554",50777,"3"
"555",50778,"Not Available"
"556",50779,"Not Available"
"557",50780,"Not Available"
"558",50781,"Not Available"
"559",51300,"Not Available"
"560",51301,"Not Available"
"561",51302,"Not Available"
"562",51303,"Not Available"
"563",51304,"3"
"564",51305,"Not Available"
"565",51306,"Not Available"
"566",51307,"Not Available"
"567",51308,"Not Available"
"568",51309,"Not Available"
"569",51310,"4"
"570",51311,"2"
"571",51312,"Not Available"
"572",51314,"2"
"573",51315,"Not Available"
"574",51316,"3"
"575",51317,"2"
"576",51318,"3"
"577",51319,"3"
"578",51320,"4"
"579",51321,"3"
"580",51323,"Not Available"
"581",51324,"4"
"582",51325,"3"
"583",51326,"2"
"584",51327,"Not Available"
"585",51328,"4"
"586",51329,"3"
"587",51330,"Not Available"
"588",51331,"3"
"589",51332,"3"
"590",51333,"Not Available"
"591",51334,"4"
"592",51335,"Not Available"
"593",53300,"Not Available"
"594",53301,"Not Available"
"595",53302,"Not Available"
"596",53303,"Not Available"
"597",53304,"Not Available"
"598",53305,"Not Available"
"599",53306,"Not Available"
"600",53308,"Not Available"
"601",53309,"Not Available"
"602",53310,"Not Available"
"603",53311,"Not Available"
"604",60001,"4"
"605",60003,"3"
"606",60004,"3"
"607",60006,"4"
"608",60008,"3"
"609",60009,"3"
"610",60010,"4"
"611",60011,"3"
"612",60012,"4"
"613",60013,"5"
"614",60014,"3"
"615",60015,"4"
"616",60016,"4"
"617",60020,"4"
"618",60022,"3"
"619",60023,"3"
"620",60024,"2"
"621",60027,"3"
"622",60028,"4"
"623",60030,"3"
"624",60031,"4"
"625",60032,"4"
"626",60034,"3"
"627",60036,"3"
"628",60043,"Not Available"
"629",60044,"3"
"630",60049,"4"
"631",60054,"3"
"632",60064,"4"
"633",60065,"3"
"634",60071,"3"
"635",60075,"3"
"636",60076,"3"
"637",60096,"4"
"638",60100,"4"
"639",60103,"4"
"640",60104,"4"
"641",60107,"Not Available"
"642",60112,"4"
"643",60113,"4"
"644",60114,"3"
"645",60116,"3"
"646",60117,"Not Available"
"647",60118,"4"
"648",60119,"4"
"649",60124,"4"
"650",60125,"3"
"651",60126,"Not Available"
"652",61300,"Not Available"
"653",61301,"3"
"654",61302,"Not Available"
"655",61303,"3"
"656",61304,"Not Available"
"657",61305,"Not Available"
"658",61306,"Not Available"
"659",61307,"Not Available"
"660",61308,"Not Available"
"661",61309,"Not Available"
"662",61310,"Not Available"
"663",61311,"Not Available"
"664",61312,"Not Available"
"665",61313,"Not Available"
"666",61314,"Not Available"
"667",61315,"3"
"668",61316,"Not Available"
"669",61317,"4"
"670",61318,"Not Available"
"671",61319,"Not Available"
"672",61320,"Not Available"
"673",61321,"Not Available"
"674",61322,"Not Available"
"675",61323,"3"
"676",61324,"4"
"677",61325,"Not Available"
"678",61326,"Not Available"
"679",61327,"3"
"680",61328,"Not Available"
